gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2233613292	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS698895421	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara macao		SPECIES	Ara macao (Linnaeus, 1758)	Ara macao		CR	Playa Guacalillo	Puntarenas		5	e2e717bf-551a-4917-bdc9-4fa0f342c530	9.816768	-84.660001							2018-12-26T00:00:00Z	26	12	2018	5959227	5959227	HUMAN_OBSERVATION	CLO	EBIRD	OBS698895421				CC0_1_0		obsr237891			2019-03-31T21:07:48.651Z		COORDINATE_ROUNDED
2233606860	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS698755498	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara macao		SPECIES	Ara macao (Linnaeus, 1758)	Ara macao		CR	P.N. La Cangreja	San José		4	e2e717bf-551a-4917-bdc9-4fa0f342c530	9.704319	-84.384613							2018-12-01T00:00:00Z	1	12	2018	5959227	5959227	HUMAN_OBSERVATION	CLO	EBIRD	OBS698755498				CC0_1_0		obsr800224			2019-03-31T21:07:44.518Z		COORDINATE_ROUNDED
2233541121	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ARG:OBS697264447	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara macao		SPECIES	Ara macao (Linnaeus, 1758)	Ara macao		CR	Hostel Rana Bocona, Quepos, Provincia de Puntarenas, CR (9.43, -84.162)	Puntarenas		10	e2e717bf-551a-4917-bdc9-4fa0f342c530	9.430313	-84.161621							2018-12-07T00:00:00Z	7	12	2018	5959227	5959227	HUMAN_OBSERVATION	CLO	EBIRD_ARG	OBS697264447				CC0_1_0		obsr817477			2019-03-31T21:07:01.115Z		COORDINATE_ROUNDED
2233493722	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS696335040	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara macao		SPECIES	Ara macao (Linnaeus, 1758)	Ara macao		CR	Restaurante Mi Finca	Guanacaste		8	e2e717bf-551a-4917-bdc9-4fa0f342c530	10.265769	-85.020608							2018-12-11T00:00:00Z	11	12	2018	5959227	5959227	HUMAN_OBSERVATION	CLO	EBIRD	OBS696335040				CC0_1_0		obsr1152398			2019-03-31T21:06:35.091Z		COORDINATE_ROUNDED
2233386012	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_QC:OBS694825438	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara macao		SPECIES	Ara macao (Linnaeus, 1758)	Ara macao		CR	Sierpe- cattle grazing parcel	Puntarenas		2	e2e717bf-551a-4917-bdc9-4fa0f342c530	8.877778	-83.492311							2018-12-30T00:00:00Z	30	12	2018	5959227	5959227	HUMAN_OBSERVATION	CLO	EBIRD_QC	OBS694825438				CC0_1_0		obsr502961			2019-03-31T21:05:36.596Z		COORDINATE_ROUNDED
2233380493	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS694778058	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara macao		SPECIES	Ara macao (Linnaeus, 1758)	Ara macao		CR	Hostel Vista Serens, Quepos, Provincia de Puntarenas, CR (9.413, -84.156)	Puntarenas		2	e2e717bf-551a-4917-bdc9-4fa0f342c530	9.412634	-84.155996							2018-10-20T00:00:00Z	20	10	2018	5959227	5959227	HUMAN_OBSERVATION	CLO	EBIRD	OBS694778058				CC0_1_0		obsr968609			2019-03-31T21:05:34.949Z		COORDINATE_ROUNDED
2233372882	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS694582283	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara macao		SPECIES	Ara macao (Linnaeus, 1758)	Ara macao		CR	Parque Nacional de Carara, Garabito CR-Puntarenas (9,7751,-84,6051)	Puntarenas		2	e2e717bf-551a-4917-bdc9-4fa0f342c530	9.775133	-84.605149							2018-11-24T00:00:00Z	24	11	2018	5959227	5959227	HUMAN_OBSERVATION	CLO	EBIRD	OBS694582283				CC0_1_0		obsr660449			2019-03-31T21:05:31.113Z		
2233360284	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS694204700	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara macao		SPECIES	Ara macao (Linnaeus, 1758)	Ara macao		CR	Villa Lapas	Puntarenas		12	e2e717bf-551a-4917-bdc9-4fa0f342c530	9.756832	-84.611988							2018-04-21T00:00:00Z	21	4	2018	5959227	5959227	HUMAN_OBSERVATION	CLO	EBIRD	OBS694204700				CC0_1_0		obsr304572			2019-03-31T21:05:26.185Z		COORDINATE_ROUNDED
2233349849	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS693879505	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara macao		SPECIES	Ara macao (Linnaeus, 1758)	Ara macao		CR	Manuel Antonio--hotels near park	Puntarenas		3	e2e717bf-551a-4917-bdc9-4fa0f342c530	9.390953	-84.147194							2018-12-24T00:00:00Z	24	12	2018	5959227	5959227	HUMAN_OBSERVATION	CLO	EBIRD	OBS693879505				CC0_1_0		obsr752072			2019-03-31T21:05:18.795Z		COORDINATE_ROUNDED
2233333969	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS693664583	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara macao		SPECIES	Ara macao (Linnaeus, 1758)	Ara macao		CR	Macaw Lodge	San José		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	9.728385	-84.518613							2018-12-31T00:00:00Z	31	12	2018	5959227	5959227	HUMAN_OBSERVATION	CLO	EBIRD	OBS693664583				CC0_1_0		obsr641368			2019-03-31T21:05:11.895Z		COORDINATE_ROUNDED
